Request Type,Case Id,Case Start Date,Sub Category,Last Admin,Last Note,Last Note Date,Current User Id
Inquiry,336531,13/01/2025,Service submission,ali.babiker,This is an enquiry not technical issue,07/04/2025,sara.musa
Complaint,352246,15/01/2025,Purchase additional years,Alyazia.Alkhoori,"As per the meeting held yesterday between you and Salam, the issue remains unresolved.  ",18/04/2025,anas.hasan
Complaint,361364,16/01/2025,Contributions and proforma,fatima.bero,RECLASSIFY - ???? ????? ????????,04/02/2025,
Complaint,370420,17/01/2025,Incorrect employment details,Moysar.Salahaldeen,RECLASSIFY -  ?? ????? ??? ????? ????? ???? ????? : 15685,17/04/2025,anas.hasan
Complaint,402173,27/01/2025,Incorrect employment details,Gerier.Ismail,???? ????? ???? ?? ????? ??? ????? ????? ???? ?????   15685,17/04/2025,anas.hasan
Complaint,435273,03/02/2025,Payment,ali.babiker,"Late EOS penalty is showing in system, kindly see attached",03/04/2025,ibrahim.mohamed
Complaint,455033,07/02/2025,Incorrect employment details,ammar.alshehhi,?? ????? ??? ???  ??????,08/04/2025,mohamed.almarzooqi
Inquiry,468567,12/02/2025,End of service remuneration,Gerier.Ismail,sr 14241,02/04/2025,anas.hasan
Complaint,468699,12/02/2025,General,nasreldeen.hanafi,?? ????? ????? ????? ???????? ?????? ????? ???? SR  ,27/03/2025,nasreldeen.hanafi
POPInquiry,470876,12/02/2025,????? ??????,Gerier.Ismail,???? ????? ???? ???? ????? ??? ????? ???? ??? ?????? ???? 784200375717079,17/04/2025,Gerier.Ismail
Complaint,474410,13/02/2025,Service submission,Moysar.Salahaldeen,??? ????????? ???? ??? ??? ??? ???? ?????? ???? ??????? ??????  784200042048254,03/04/2025,sara.musa
Inquiry,475075,13/02/2025,Late End of Service Penalty,,,,Khalid.Mohamed
Complaint,476392,13/02/2025,Service submission,anas.hasan,Inc 22448   Logged InProgress,17/04/2025,anas.hasan
Complaint,492363,17/02/2025,Service submission,nasreldeen.hanafi,?? ????? ????? ????? ???????? ?????? ????? ???? SR  ,16/04/2025,nasreldeen.hanafi
Inquiry,494973,18/02/2025,Merge service period,Salma.Ahmed,RECLASSIFY -  SR15670,17/04/2025,anas.hasan
Complaint,502270,24/02/2025,Service submission,zainab.alshehhi,"?? ??????? ??? ?????? ???? ??????? ???? ???? ????? ??? ????????? ???????? ???????? ????????. ???? ??????? ???????:  • ????? ???? ?? ????? ????  ?????  ????? ???????? ?????? ??????? ???????? ???? ??????? ????? ??? ?????",16/04/2025,zainab.alshehhi
Complaint,503058,25/02/2025,Service submission,Moysar.Salahaldeen,RECLASSIFY -  ????? ??? ????? ????? ???? ????? : 15685,17/04/2025,anas.hasan
Complaint,503814,25/02/2025,Incorrect employment details,Obaid.AlKhuzaimi,"RECLASSIFY -   ????? ???????? ????. ??? ??????? ???? ???? ????? ???????? ??????? ??????? ? ? ??? ??? ????? ?? ????????? ?????? ???? ??????? ??? ????? 80010.",16/04/2025,nasreldeen.hanafi
Complaint,538234,01/03/2025,Payment,ali.babiker,"We have reviewed your request and would like to inform you that additional information is required to proceed. Kindly provide the following:   • Check spam folder and inform back if it is not showing.  We appreciate your cooperation, and once we receive the required information, we will proceed with processing your request",17/04/2025,
Complaint,542789,03/03/2025,Incorrect employment details,Gerier.Ismail,Sr 15713,18/04/2025,anas.hasan
Complaint,546709,03/03/2025,Refunds,zainab.alshehhi,RECLASSIFY -  Refund,04/03/2025,Saed.Fawzi
Complaint,546795,03/03/2025,Refunds,zainab.alshehhi,RECLASSIFY - refund,04/03/2025,Saed.Fawzi
Complaint,546913,03/03/2025,Service submission,Moysar.Salahaldeen,RECLASSIFY -  SR15711,18/04/2025,anas.hasan
Inquiry,547239,03/03/2025,Service submission,ali.babiker,SR 15546,16/04/2025,ali.babiker
Complaint,548652,04/03/2025,Insured registration,,,,nasreldeen.hanafi
Complaint,554241,05/03/2025,Incorrect employment details,nasreldeen.hanafi,???? ???? ???? ?????? ?????? ?????? ???????? ?????????? ?????????? ???? ??????? ?????? ??? ???? ?????? ?????????. ???? ??? ???????? ??????? ?? ????? ??? ??????? ??? ??????? ??? ?????? ???? ?? ????? ?????? ?????? ????? ????? ???????  ,12/03/2025,nasreldeen.hanafi
Complaint,554647,05/03/2025,Service submission,mohammed.reda,"This is not a technical issue. If the guide is outdated, please ask the media team to update it accordingly.",18/04/2025,sumaya.rashed
Complaint,557082,05/03/2025,Incorrect employment details,ammar.alshehhi,???? ????? ???    ?? ????? ?????? ??? ?? ??? ?? ????? ???????? ?????? ?????  ? ???? ???? ??? Tkt  20724 Logged  ???? ? ??? ?? ????,09/04/2025,anas.hasan
Complaint,561011,06/03/2025,Contributions and proforma,Gerier.Ismail,RECLASSIFY -  ??? ????? ???? 473535,11/04/2025,Musab.Husam
Inquiry,561902,06/03/2025,Service submission,abdelhamid.mohamed,SR,17/04/2025,abdelhamid.mohamed
Complaint,562196,06/03/2025,End of service,nasreldeen.hanafi,RECLASSIFY -  ?? ????? ?????? ???? ???? ????? ?????,15/04/2025,nasreldeen.hanafi
Complaint,563301,06/03/2025,Incorrect employment details,mohamed.abdulsallam,"Dear employer kindly we would like you to know that we are updating the refund process, and it will be ready soon. You will be contacted once the update is finalized. please provide us with an official refund letter clarified the total amount details requested to be refund, and the company official IBAN letter.&#160;",04/04/2025,mohamed.abdulsallam
Complaint,566231,07/03/2025,Transferred service,Gerier.Ismail,??????? ??? SR ,02/04/2025,Gerier.Ismail
Complaint,566340,07/03/2025,Incorrect employment details,Gerier.Ismail,Sr 15713,18/04/2025,anas.hasan
Complaint,566828,07/03/2025,Service submission,ali.babiker,SR 15615,17/04/2025,anas.hasan
Complaint,568488,08/03/2025,Service submission,nasreldeen.hanafi,?? ????? ???? ????? ????? ???????? ??????,10/04/2025,nasreldeen.hanafi
Complaint,570818,10/03/2025,Transferred service,ammar.alshehhi,?? ??? sr  ?????,19/04/2025,ammar.alshehhi
